code;protein
PCDH9;Protocadherin-9
PCDHB15;Protocadherin beta-15
PCNA;Proliferating cell nuclear antigen
PCOLCE;Procollagen C-endopeptidase enhancer 1
PCSK7;Proprotein convertase subtilisin/kexin type 7
PCSK9;Proprotein convertase subtilisin/kexin type 9
PCYT2;Ethanolamine-phosphate cytidylyltransferase
PDAP1;28 kDa heat- and acid-stable phosphoprotein
PDCD1;Programmed cell death protein 1
PDCD1LG2;Programmed cell death 1 ligand 2
PDCD5;Programmed cell death protein 5
PDCD6;Programmed cell death protein 6
PDCL2;Phosducin-like protein 2
"PDE1C;Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C"
"PDE4D;cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
"PDE5A;cGMP-specific 3',5'-cyclic phosphodiesterase"
PDGFA;Platelet-derived growth factor subunit A
PDGFB;Platelet-derived growth factor subunit B
PDGFC;Platelet-derived growth factor C
PDGFRA;Platelet-derived growth factor receptor alpha
PDGFRB;Platelet-derived growth factor receptor beta
PDIA2;Protein disulfide-isomerase A2
PDIA3;Protein disulfide-isomerase A3
PDIA4;Protein disulfide-isomerase A4
PDIA5;Protein disulfide-isomerase A5
PDLIM5;PDZ and LIM domain protein 5
PDLIM7;PDZ and LIM domain protein 7
"PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
PDRG1;p53 and DNA damage-regulated protein 1
PDXDC1;Pyridoxal-dependent decarboxylase domain-containing protein 1
PDZD2;PDZ domain-containing protein 2
PDZK1;Na(+)/H(+) exchange regulatory cofactor NHE-RF3
PEAR1;Platelet endothelial aggregation receptor 1
PEBP1;Phosphatidylethanolamine-binding protein 1
PECAM1;Platelet endothelial cell adhesion molecule
PECR;Peroxisomal trans-2-enoyl-CoA reductase
PENK;Proenkephalin-A
PEPD;Xaa-Pro dipeptidase
PER3;Period circadian protein homolog 3
PF4;Platelet factor 4
PFDN2;Prefoldin subunit 2
PFDN4;Prefoldin subunit 4
PFDN6;Prefoldin subunit 6
"PFKFB2;6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
PGA4;Pepsin A-4
"PGD;6-phosphogluconate dehydrogenase, decarboxylating"
PGF;Placenta growth factor
PGLYRP1;Peptidoglycan recognition protein 1
PGLYRP2;N-acetylmuramoyl-L-alanine amidase
PGLYRP4;Peptidoglycan recognition protein 4
PGM2;Phosphoglucomutase-2
PGR;Progesterone receptor
PHACTR2;Phosphatase and actin regulator 2
PHLDB1;Pleckstrin homology-like domain family B member 1
PHLDB2;Pleckstrin homology-like domain family B member 2
PHOSPHO1;Phosphoethanolamine/phosphocholine phosphatase
PHYKPL;5-phosphohydroxy-L-lysine phospho-lyase
PI16;Peptidase inhibitor 16
PI3;Elafin
"PIBF1;Progesterone-induced-blocking factor 1, Isoform 4"
PIGR;Polymeric immunoglobulin receptor
PIK3AP1;Phosphoinositide 3-kinase adapter protein 1
PIK3IP1;Phosphoinositide-3-kinase-interacting protein 1
PIKFYVE;1-phosphatidylinositol 3-phosphate 5-kinase
PILRA;Paired immunoglobulin-like type 2 receptor alpha
PILRB;Paired immunoglobulin-like type 2 receptor beta
PINLYP;phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
PITHD1;PITH domain-containing protein 1
PKD1;Polycystin-1
PKD2;Polycystin-2
PKLR;Pyruvate kinase PKLR
PKN3;Serine/threonine-protein kinase N3
PLA2G10;Group 10 secretory phospholipase A2
PLA2G15;Phospholipase A2 group XV
PLA2G1B;Phospholipase A2
"PLA2G2A;Phospholipase A2, membrane associated"
PLA2G4A;Cytosolic phospholipase A2
PLA2G7;Platelet-activating factor acetylhydrolase
PLAT;Tissue-type plasminogen activator
PLAU;Urokinase-type plasminogen activator
PLAUR;Urokinase plasminogen activator surface receptor
"PLB1;Phospholipase B1, membrane-associated"
"PLCB1;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
"PLCB2;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"
PLEKHO1;Pleckstrin homology domain-containing family O member 1
PLG;Plasminogen
PLIN1;Perilipin-1
PLIN3;Perilipin-3
PLPBP;Pyridoxal phosphate homeostasis protein
PLSCR3;Phospholipid scramblase 3
PLTP;Phospholipid transfer protein
PLXDC1;Plexin domain-containing protein 1
PLXDC2;Plexin domain-containing protein 2
PLXNA4;Plexin-A4
PLXNB2;Plexin-B2
PLXNB3;Plexin-B3
PM20D1;N-fatty-acyl-amino acid synthase/hydrolase PM20D1
PMCH;Pro-MCH
PMM2;Phosphomannomutase 2
PMS1;PMS1 protein homolog 1
PMVK;Phosphomevalonate kinase
PNLIP;Pancreatic triacylglycerol lipase
PNLIPRP1;Inactive pancreatic lipase-related protein 1
PNLIPRP2;Pancreatic lipase-related protein 2
PNMA1;Paraneoplastic antigen Ma1
PNMA2;Paraneoplastic antigen Ma2
"PNPT1;Polyribonucleotide nucleotidyltransferase 1, mitochondrial"
PODXL;Podocalyxin
PODXL2;Podocalyxin-like protein 2
POF1B;Protein POF1B
POLR2A;DNA-directed RNA polymerase II subunit RPB1
"POLR2F;DNA-directed RNA polymerases I, II, and III subunit RPABC2"
POMC;Pro-opiomelanocortin
PON1;Serum paraoxonase/arylesterase 1
PON2;Serum paraoxonase/arylesterase 2
PON3;Serum paraoxonase/lactonase 3
POSTN;Periostin
PPBP;Platelet basic protein
PPCDC;Phosphopantothenoylcysteine decarboxylase
PPIB;Peptidyl-prolyl cis-trans isomerase B
PPIE;Peptidyl-prolyl cis-trans isomerase E
"PPIF;Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
PPL;Periplakin
PPM1A;Protein phosphatase 1A
PPM1B;Protein phosphatase 1B
PPM1F;Protein phosphatase 1F
PPME1;Protein phosphatase methylesterase 1
PPP1CC;Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
PPP1R12A;Protein phosphatase 1 regulatory subunit 12A
PPP1R12B;Protein phosphatase 1 regulatory subunit 12B
PPP1R14A;Protein phosphatase 1 regulatory subunit 14A
PPP1R14D;Protein phosphatase 1 regulatory subunit 14D
PPP1R2;Protein phosphatase inhibitor 2
PPP1R9B;Neurabin-2
PPP2R5A;Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
PPP3R1;Calcineurin subunit B type 1
PPT1;Palmitoyl-protein thioesterase 1
PPY;Pancreatic prohormone
PQBP1;Polyglutamine-binding protein 1
PRAME;Melanoma antigen preferentially expressed in tumors
PRAP1;Proline-rich acidic protein 1
PRC1;Protein regulator of cytokinesis 1
PRCP;Lysosomal Pro-X carboxypeptidase
PRDX1;Peroxiredoxin-1
PRDX2;Peroxiredoxin-2
"PRDX3;Thioredoxin-dependent peroxide reductase, mitochondrial"
"PRDX5;Peroxiredoxin-5, mitochondrial"
PRDX6;Peroxiredoxin-6
PREB;Prolactin regulatory element-binding protein
PRELP;Prolargin
PRG2;Bone marrow proteoglycan
PRG3;Proteoglycan 3
PRKAB1;5'-AMP-activated protein kinase subunit beta-1
PRKAG3;5'-AMP-activated protein kinase subunit gamma-3
PRKAR1A;cAMP-dependent protein kinase type I-alpha regulatory subunit
PRKAR2A;cAMP-dependent protein kinase type II-alpha regulatory subunit
PRKCQ;Protein kinase C theta type
PRKD2;Serine/threonine-protein kinase D2
PRKG1;cGMP-dependent protein kinase 1
PRKRA;Interferon-inducible double-stranded RNA-dependent protein kinase activator A
PRL;Prolactin
PRND;Prion-like protein doppel
PROC;Vitamin K-dependent protein C
PROCR;Endothelial protein C receptor
PROK1;Prokineticin-1
PROS1;Vitamin K-dependent protein S
PRR4;Proline-rich protein 4
PRR5;Proline-rich protein 5
PRRT3;Proline-rich transmembrane protein 3
PRSS2;Trypsin-2
PRSS22;Brain-specific serine protease 4
PRSS27;Serine protease 27
PRSS53;Serine protease 53
PRSS8;Prostasin
PRTFDC1;Phosphoribosyltransferase domain-containing protein 1
PRTG;Protogenin
PRTN3;Myeloblastin
PRUNE2;Protein prune homolog 2
PSAP;Prosaposin
PSAPL1;Proactivator polypeptide-like 1
PSCA;Prostate stem cell antigen
PSG1;Pregnancy-specific beta-1-glycoprotein 1
PSIP1;PC4 and SFRS1-interacting protein
PSMA1;Proteasome subunit alpha type-1
PSMC3;26S proteasome regulatory subunit 6A
PSMD1;26S proteasome non-ATPase regulatory subunit 1
PSMD5;26S proteasome non-ATPase regulatory subunit 5
PSMD9;26S proteasome non-ATPase regulatory subunit 9
PSME1;Proteasome activator complex subunit 1
PSME2;Proteasome activator complex subunit 2
PSMG3;Proteasome assembly chaperone 3
PSMG4;Proteasome assembly chaperone 4
PSPN;Persephin
PSRC1;Proline/serine-rich coiled-coil protein 1
PSTPIP2;Proline-serine-threonine phosphatase-interacting protein 2
"PTEN;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN"
PTGDS;Prostaglandin-H2 D-isomerase
PTGES2;Prostaglandin E synthase 2
PTGR1;Prostaglandin reductase 1
PTH;Parathyroid hormone
PTH1R;Parathyroid hormone/parathyroid hormone-related peptide receptor
PTK7;Inactive tyrosine-protein kinase 7
PTN;Pleiotrophin
PTP4A3;Protein tyrosine phosphatase type IVA 3
PTPN1;Tyrosine-protein phosphatase non-receptor type 1
PTPN6;Tyrosine-protein phosphatase non-receptor type 6
PTPN9;Tyrosine-protein phosphatase non-receptor type 9
PTPRB;Receptor-type tyrosine-protein phosphatase beta
PTPRC;Receptor-type tyrosine-protein phosphatase C
PTPRF;Receptor-type tyrosine-protein phosphatase F
PTPRH;Receptor-type tyrosine-protein phosphatase H
PTPRK;Receptor-type tyrosine-protein phosphatase kappa
PTPRM;Receptor-type tyrosine-protein phosphatase mu
PTPRN2;Receptor-type tyrosine-protein phosphatase N2
PTPRR;Receptor-type tyrosine-protein phosphatase R
PTPRS;Receptor-type tyrosine-protein phosphatase S
PTPRZ1;Receptor-type tyrosine-protein phosphatase zeta
PTRHD1;Putative peptidyl-tRNA hydrolase PTRHD1
PTS;6-pyruvoyl tetrahydrobiopterin synthase
PTTG1;Securin
PTX3;Pentraxin-related protein PTX3
PVALB;Parvalbumin alpha
PVR;Poliovirus receptor
PXDNL;Peroxidasin-like protein
PXN;Paxillin
PYDC1;Pyrin domain-containing protein 1
PYY;Peptide YY
PZP;Pregnancy zone protein
QDPR;Dihydropteridine reductase
QPCT;Glutaminyl-peptide cyclotransferase
QSOX1;Sulfhydryl oxidase 1
RAB10;Ras-related protein Rab-10
RAB11FIP3;Rab11 family-interacting protein 3
RAB27B;Ras-related protein Rab-27B
RAB2B;Ras-related protein Rab-2B
RAB33A;Ras-related protein Rab-33A
RAB37;Ras-related protein Rab-37
RAB39B;Ras-related protein Rab-39B
RAB3GAP1;Rab3 GTPase-activating protein catalytic subunit
RAB44;Ras-related protein Rab-44
RAB6A;Ras-related protein Rab-6A
RAB6B;Ras-related protein Rab-6B
RABEP1;Rab GTPase-binding effector protein 1
RABEPK;Rab9 effector protein with kelch motifs
RABGAP1L;Rab GTPase-activating protein 1-like
RAC3;Ras-related C3 botulinum toxin substrate 3
RAD23B;UV excision repair protein RAD23 homolog B
RAD51;DNA repair protein RAD51 homolog 1
RALB;Ras-related protein Ral-B
RALY;RNA-binding protein Raly
RANBP1;Ran-specific GTPase-activating protein
RANBP2;E3 SUMO-protein ligase RanBP2
RANGAP1;Ran GTPase-activating protein 1
RAP1A;Ras-related protein Rap-1A
RAPGEF2;Rap guanine nucleotide exchange factor 2
RARRES1;Retinoic acid receptor responder protein 1
RARRES2;Retinoic acid receptor responder protein 2
RASA1;Ras GTPase-activating protein 1
RASGRF1;Ras-specific guanine nucleotide-releasing factor 1
RASSF2;Ras association domain-containing protein 2
RBFOX3;RNA binding protein fox-1 homolog 3
RBKS;Ribokinase
RBM17;Splicing factor 45
RBM19;Probable RNA-binding protein 19
RBM25;RNA-binding protein 25
RBP1;Retinol-binding protein 1
RBP2;Retinol-binding protein 2
RBP5;Retinol-binding protein 5
RBP7;Retinoid-binding protein 7
RBPMS;RNA-binding protein with multiple splicing
RBPMS2;RNA-binding protein with multiple splicing 2
RCC1;Regulator of chromosome condensation
RCOR1;REST corepressor 1
RECK;Reversion-inducing cysteine-rich protein with Kazal motifs
REEP4;Receptor expression-enhancing protein 4
REG1A;Lithostathine-1-alpha
REG1B;Lithostathine-1-beta
REG3A;Regenerating islet-derived protein 3-alpha
REG3G;Regenerating islet-derived protein 3-gamma
REG4;Regenerating islet-derived protein 4
RELB;Transcription factor RelB
RELT;Tumor necrosis factor receptor superfamily member 19L
REN;Renin
REPS1;RalBP1-associated Eps domain-containing protein 1
REST;RE1-silencing transcription factor
RET;Proto-oncogene tyrosine-protein kinase receptor Ret
RETN;Resistin
"REXO2;Oligoribonuclease, mitochondrial"
RFC4;Replication factor C subunit 4
RGCC;Regulator of cell cycle RGCC
RGL2;Ral guanine nucleotide dissociation stimulator-like 2
RGMA;Repulsive guidance molecule A
RGMB;RGM domain family member B
RGS10;Regulator of G-protein signaling 10
RGS8;Regulator of G-protein signaling 8
RHOC;Rho-related GTP-binding protein RhoC
RICTOR;Rapamycin-insensitive companion of mTOR
RIDA;2-iminobutanoate/2-iminopropanoate deaminase
RILP;Rab-interacting lysosomal protein
RILPL2;RILP-like protein 2
RIPK4;Receptor-interacting serine/threonine-protein kinase 4
RLN1;Prorelaxin H1
RLN2;Prorelaxin H2
RNASE1;Ribonuclease pancreatic
RNASE10;Inactive ribonuclease-like protein 10
RNASE3;Eosinophil cationic protein
RNASE4;Ribonuclease 4
RNASE6;Ribonuclease K6
RNASEH2A;Ribonuclease H2 subunit A
RNASET2;Ribonuclease T2
RNF149;E3 ubiquitin-protein ligase RNF149
RNF168;E3 ubiquitin-protein ligase RNF168
RNF31;E3 ubiquitin-protein ligase RNF31
RNF4;E3 ubiquitin-protein ligase RNF4
RNF41;E3 ubiquitin-protein ligase NRDP1
RNF43;E3 ubiquitin-protein ligase RNF43
RNF5;E3 ubiquitin-protein ligase RNF5
ROBO1;Roundabout homolog 1
ROBO2;Roundabout homolog 2
ROBO4;Roundabout homolog 4
ROR1;Inactive tyrosine-protein kinase transmembrane receptor ROR1
RP2;Protein XRP2
RPA2;Replication protein A 32 kDa subunit
RPE;Ribulose-phosphate 3-epimerase
RPGR;X-linked retinitis pigmentosa GTPase regulator
RPL14;60S ribosomal protein L14
RPS10;40S ribosomal protein S10
RRAS;Ras-related protein R-Ras
RRM2;Ribonucleoside-diphosphate reductase subunit M2
RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B
RRP15;RRP15-like protein
RSPO1;R-spondin-1
RSPO3;R-spondin-3
RTBDN;Retbindin
RTKN2;Rhotekin-2
"RTN4IP1;Reticulon-4-interacting protein 1, mitochondrial"
RTN4R;Reticulon-4 receptor
RUVBL1;RuvB-like 1
RWDD1;RWD domain-containing protein 1
RYR1;Ryanodine receptor 1
S100A11;Protein S100-A11
S100A12;Protein S100-A12
S100A13;Protein S100-A13
S100A14;Protein S100-A14
S100A16;Protein S100-A16
S100A3;Protein S100-A3
S100A4;Protein S100-A4
S100G;Protein S100-G
S100P;Protein S100-P
SAA4;Serum amyloid A-4 protein
SAFB2;Scaffold attachment factor B2
SAG;S-arrestin
SAMD9L;Sterile alpha motif domain-containing protein 9-like
SAP18;Histone deacetylase complex subunit SAP18
SARG;Specifically androgen-regulated gene protein
SART1;U4/U6.U5 tri-snRNP-associated protein 1
SAT1;Diamine acetyltransferase 1
SAT2;Thialysine N-epsilon-acetyltransferase
SATB1;DNA-binding protein SATB1
SBSN;Suprabasin
SCAMP3;Secretory carrier-associated membrane protein 3
SCARA5;Scavenger receptor class A member 5
SCARB1;Scavenger receptor class B member 1
SCARB2;Lysosome membrane protein 2
SCARF1;Scavenger receptor class F member 1
SCARF2;Scavenger receptor class F member 2
SCG2;Secretogranin-2
SCG3;Secretogranin-3
SCGB1A1;Uteroglobin
SCGB2A2;Mammaglobin-A
SCGB3A1;Secretoglobin family 3A member 1
SCGB3A2;Secretoglobin family 3A member 2
SCGN;Secretagogin
SCIN;Adseverin
SCLY;Selenocysteine lyase
SCN2A;Sodium channel protein type 2 subunit alpha
SCN2B;Sodium channel subunit beta-2
SCN3A;Sodium channel protein type 3 subunit alpha
SCN3B;Sodium channel subunit beta-3
SCN4B;Sodium channel subunit beta-4
SCP2;Non-specific lipid-transfer protein
SCPEP1;Retinoid-inducible serine carboxypeptidase
SCRG1;Scrapie-responsive protein 1
SCRIB;Protein scribble homolog
SCRN1;Secernin-1
SCT;Secretin
SDC1;Syndecan-1
SDC4;Syndecan-4
SDCCAG8;Serologically defined colon cancer antigen 8
SDHB;Succinate dehydrogenase
SDK2;Protein sidekick-2
SEC31A;Protein transport protein Sec31A
SEL1L;Protein sel-1 homolog 1
SELE;E-selectin
SELENOP;Selenoprotein P
SELL;L-selectin
SELP;P-selectin
SELPLG;P-selectin glycoprotein ligand 1
SEMA3F;Semaphorin-3F
SEMA3G;Semaphorin-3G
SEMA4C;Semaphorin-4C
SEMA4D;Semaphorin-4D
SEMA6C;Semaphorin-6C
SEMA7A;Semaphorin-7A
SEPTIN3;Neuronal-specific septin-3
SEPTIN7;Septin-7
SEPTIN8;Septin-8
SEPTIN9;Septin-9
SERPINA1;Alpha-1-antitrypsin
SERPINA11;Serpin A11
SERPINA12;Serpin A12
SERPINA3;Alpha-1-antichymotrypsin
SERPINA4;Kallistatin
SERPINA5;Plasma serine protease inhibitor
SERPINA6;Corticosteroid-binding globulin
SERPINA7;Thyroxine-binding globulin
SERPINA9;Serpin A9
SERPINB1;Leukocyte elastase inhibitor
SERPINB5;Serpin B5
SERPINB6;Serpin B6
SERPINB8;Serpin B8
SERPINB9;Serpin B9
SERPINC1;Antithrombin-III
SERPIND1;Heparin cofactor 2
SERPINE1;Plasminogen activator inhibitor 1
SERPINE2;Glia-derived nexin
SERPINF1;Pigment epithelium-derived factor
SERPINF2;Alpha-2-antiplasmin
SERPING1;Plasma protease C1 inhibitor
SERPINH1;Serpin H1
SERPINI1;Neuroserpin
SERPINI2;Serpin I2
SESTD1;SEC14 domain and spectrin repeat-containing protein 1
SETMAR;Histone-lysine N-methyltransferase SETMAR
SEZ6;Seizure protein 6 homolog
SEZ6L;Seizure 6-like protein
SEZ6L2;Seizure 6-like protein 2
SF3B4;Splicing factor 3B subunit 4
SFRP1;Secreted frizzled-related protein 1
SFRP4;Secreted frizzled-related protein 4
SFTPA1;Pulmonary surfactant-associated protein A1
SFTPA2;Pulmonary surfactant-associated protein A2
SFTPD;Pulmonary surfactant-associated protein D
SGSH;N-sulphoglucosamine sulphohydrolase
SH2B3;SH2B adapter protein 3
SH2D1A;SH2 domain-containing protein 1A
SH3BGRL2;SH3 domain-binding glutamic acid-rich-like protein 2
SH3BP1;SH3 domain-binding protein 1
SH3GL3;Endophilin-A3
SH3GLB2;Endophilin-B2
SHBG;Sex hormone-binding globulin
SHC1;SHC-transforming protein 1
SHD;SH2 domain-containing adapter protein D
SHH;Sonic hedgehog protein
SHISA5;Protein shisa-5
"SHMT1;Serine hydroxymethyltransferase, cytosolic"
SHPK;Sedoheptulokinase
SIAE;Sialate O-acetylesterase
SIGLEC1;Sialoadhesin
SIGLEC10;Sialic acid-binding Ig-like lectin 10
SIGLEC15;Sialic acid-binding Ig-like lectin 15
SIGLEC5;Sialic acid-binding Ig-like lectin 5
SIGLEC6;Sialic acid-binding Ig-like lectin 6
SIGLEC7;Sialic acid-binding Ig-like lectin 7
SIGLEC8;Sialic acid-binding Ig-like lectin 8
SIGLEC9;Sialic acid-binding Ig-like lectin 9
SIL1;Nucleotide exchange factor SIL1
SIRPA;Tyrosine-protein phosphatase non-receptor type substrate 1
SIRPB1;Signal-regulatory protein beta-1
SIRT1;NAD-dependent protein deacetylase sirtuin-1
SIRT2;NAD-dependent protein deacetylase sirtuin-2
"SIRT5;NAD-dependent protein deacylase sirtuin-5, mitochondrial"
SIT1;Signaling threshold-regulating transmembrane adapter 1
SKAP1;Src kinase-associated phosphoprotein 1
SKAP2;Src kinase-associated phosphoprotein 2
SKIV2L;Helicase SKI2W
SLA2;Src-like-adapter 2
SLAMF1;Signaling lymphocytic activation molecule
SLAMF6;SLAM family member 6
SLAMF7;SLAM family member 7
SLAMF8;SLAM family member 8
SLC12A2;Solute carrier family 12 member 2
SLC13A1;Solute carrier family 13 member 1
SLC16A1;Monocarboxylate transporter 1
SLC1A4;Neutral amino acid transporter A
SLC27A4;Long-chain fatty acid transport protein 4
SLC28A1;Sodium/nucleoside cotransporter 1
SLC34A3;Sodium-dependent phosphate transport protein 2C
SLC39A14;Zinc transporter ZIP14
SLC39A5;Zinc transporter ZIP5
SLC44A4;Choline transporter-like protein 4
SLC4A1;Band 3 anion transport protein
SLC51B;Organic solute transporter subunit beta
SLC9A3R1;Na(+)/H(+) exchange regulatory cofactor NHE-RF1
SLC9A3R2;Na(+)/H(+) exchange regulatory cofactor NHE-RF2
"SLIRP;SRA stem-loop-interacting RNA-binding protein, mitochondrial"
SLIT2;Slit homolog 2 protein
SLITRK1;SLIT and NTRK-like protein 1
SLITRK2;SLIT and NTRK-like protein 2
SLITRK6;SLIT and NTRK-like protein 6
SLK;STE20-like serine/threonine-protein kinase
SLMAP;Sarcolemmal membrane-associated protein
SLURP1;Secreted Ly-6/uPAR-related protein 1
SMAD1;Mothers against decapentaplegic homolog 1
SMAD2;Mothers against decapentaplegic homolog 2
SMAD3;Mothers against decapentaplegic homolog 3
SMAD5;Mothers against decapentaplegic homolog 5
SMARCA2;Probable global transcription activator SNF2L2
SMC3;Structural maintenance of chromosomes protein 3
SMNDC1;Survival of motor neuron-related-splicing factor 30
SMOC1;SPARC-related modular calcium-binding protein 1
SMOC2;SPARC-related modular calcium-binding protein 2
SMPD1;Sphingomyelin phosphodiesterase
SMPD3;Sphingomyelin phosphodiesterase 3
SMPDL3A;Acid sphingomyelinase-like phosphodiesterase 3a
SMPDL3B;Acid sphingomyelinase-like phosphodiesterase 3b
SMS;Spermine synthase
SMTN;Smoothelin
SNAP23;Synaptosomal-associated protein 23
SNAP25;Synaptosomal-associated protein 25
SNAP29;Synaptosomal-associated protein 29
SNAPIN;SNARE-associated protein Snapin
SNCA;Alpha-synuclein
SNCG;Gamma-synuclein
"SNED1;Sushi, nidogen and EGF-like domain-containing protein 1"
SNRPB2;U2 small nuclear ribonucleoprotein B''
SNU13;NHP2-like protein 1
SNX15;Sorting nexin-15
SNX18;Sorting nexin-18
SNX2;Sorting nexin-2
SNX5;Sorting nexin-5
SNX9;Sorting nexin-9
SOD1;Superoxide dismutase [Cu-Zn]
"SOD2;Superoxide dismutase [Mn], mitochondrial"
SOD3;Extracellular superoxide dismutase
SORBS1;Sorbin and SH3 domain-containing protein 1
SORCS2;VPS10 domain-containing receptor SorCS2
SORD;Sorbitol dehydrogenase
SORT1;Sortilin
SOST;Sclerostin
SOWAHA;Ankyrin repeat domain-containing protein SOWAHA
SOX2;Transcription factor SOX-2
SOX9;Transcription factor SOX-9
SPACA5_SPACA5B;Sperm acrosome-associated protein 5
SPAG1;Sperm-associated antigen 1
SPARC;SPARC
SPARCL1;SPARC-like protein 1
SPART;Spartin
SPESP1;Sperm equatorial segment protein 1
SPINK1;Serine protease inhibitor Kazal-type 1
SPINK2;Serine protease inhibitor Kazal-type 2
SPINK4;Serine protease inhibitor Kazal-type 4
SPINK5;Serine protease inhibitor Kazal-type 5
SPINK6;Serine protease inhibitor Kazal-type 6
SPINK8;Serine protease inhibitor Kazal-type 8
SPINT1;Kunitz-type protease inhibitor 1
SPINT2;Kunitz-type protease inhibitor 2
SPINT3;Kunitz-type protease inhibitor 3
SPOCK1;Testican-1
SPON1;Spondin-1
SPON2;Spondin-2
SPP1;Osteopontin
"SPRED2;Sprouty-related, EVH1 domain-containing protein 2"
SPRING1;SREBP regulating gene protein
SPRR1B;Cornifin-B
SPRR3;Small proline-rich protein 3
SPRY2;Protein sprouty homolog 2
"SPTBN2;Spectrin beta chain, non-erythrocytic 2"
SPTLC1;Serine palmitoyltransferase 1
SRC;Proto-oncogene tyrosine-protein kinase Src
SRP14;Signal recognition particle 14 kDa protein
SRPK2;SRSF protein kinase 2
SRPX;Sushi repeat-containing protein SRPX
SSB;Lupus La protein
"SSBP1;Single-stranded DNA-binding protein, mitochondrial"
SSC4D;Scavenger receptor cysteine-rich domain-containing group B protein
SSC5D;Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
SSH3;Protein phosphatase Slingshot homolog 3
SSNA1;Sjoegren syndrome nuclear autoantigen 1
ST13;Hsc70-interacting protein
"ST3GAL1;CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1"
"ST6GAL1;Beta-galactoside alpha-2,6-sialyltransferase 1"
"ST8SIA1;Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase"
STAB2;Stabilin-2
STAM;Signal transducing adapter molecule 1
STAMBP;STAM-binding protein
STAT2;Signal transducer and activator of transcription 2
STAT5B;Signal transducer and activator of transcription 5B
STAU1;Double-stranded RNA-binding protein Staufen homolog 1
STC1;Stanniocalcin-1
STC2;Stanniocalcin-2
STEAP4;Metalloreductase STEAP4
STIP1;Stress-induced-phosphoprotein 1
STK11;Serine/threonine-protein kinase STK11
STK24;Serine/threonine-protein kinase 24
STK4;Serine/threonine-protein kinase 4
"STOML2;Stomatin-like protein 2, mitochondrial"
STX16;Syntaxin-16
STX1B;Syntaxin-1B
STX3;Syntaxin-3
STX4;Syntaxin-4
STX5;Syntaxin-5
STX6;Syntaxin-6
STX7;Syntaxin-7
STX8;Syntaxin-8
STXBP1;Syntaxin-binding protein 1
STXBP3;Syntaxin-binding protein 3
SUGP1;SURP and G-patch domain-containing protein 1
SUGT1;Protein SGT1 homolog
SULT1A1;Sulfotransferase 1A1
SULT2A1;Bile salt sulfotransferase
SUMF1;Formylglycine-generating enzyme
SUMF2;Inactive C-alpha-formylglycine-generating enzyme 2
"SUOX;Sulfite oxidase, mitochondrial"
SUSD1;Sushi domain-containing protein 1
SUSD2;Sushi domain-containing protein 2
SUSD4;Sushi domain-containing protein 4
SUSD5;Sushi domain-containing protein 5
SV2A;Synaptic vesicle glycoprotein 2A
SWAP70;Switch-associated protein 70
SYAP1;Synapse-associated protein 1
SYNGAP1;Ras/Rap GTPase-activating protein SynGAP
SYT1;Synaptotagmin-1
SYTL4;Synaptotagmin-like protein 4
TAB2;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
TACC3;Transforming acidic coiled-coil-containing protein 3
TACSTD2;Tumor-associated calcium signal transducer 2
TADA3;Transcriptional adapter 3
TAFA5;Chemokine-like protein TAFA-5
TAGLN3;Transgelin-3
TALDO1;Transaldolase
TANK;TRAF family member-associated NF-kappa-B activator
TAP1;Antigen peptide transporter 1
TARBP2;RISC-loading complex subunit TARBP2
"TARM1;T-cell-interacting, activating receptor on myeloid cells protein 1"
"TARS1;Threonine--tRNA ligase 1, cytoplasmic"
TAX1BP1;Tax1-binding protein 1
TBC1D17;TBC1 domain family member 17
TBC1D23;TBC1 domain family member 23
TBC1D5;TBC1 domain family member 5
TBCA;Tubulin-specific chaperone A
TBCB;Tubulin-folding cofactor B
TBCC;Tubulin-specific chaperone C
TBL1X;F-box-like/WD repeat-containing protein TBL1X
TBR1;T-box brain protein 1
TCL1A;T-cell leukemia/lymphoma protein 1A
TCL1B;T-cell leukemia/lymphoma protein 1B
TCN1;Transcobalamin-1
TCN2;Transcobalamin-2
TCOF1;Treacle protein
TCP11;T-complex protein 11 homolog
TCTN3;Tectonic-3
TDGF1;Teratocarcinoma-derived growth factor 1
"TDO2;Tryptophan 2,3-dioxygenase"
TDP1;Tyrosyl-DNA phosphodiesterase 1
TDRKH;Tudor and KH domain-containing protein
